STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,MAHADEVAPURA,DR. H R SURENDRA,REPUBLICAN PARTY OF INDIA (A),248
KARNATAKA,MAHADEVAPURA,S M KRISHNA,BHARATIYA PRAJA PAKSHA,169
KARNATAKA,MAHADEVAPURA,K KRISHNA,REPUBLICAN SENA,167
KARNATAKA,MAHADEVAPURA,NONE OF THE ABOVE,NONE OF THE ABOVE,3482
KARNATAKA,B.T.M.LAYOUT,RAMALINGA REDDY,INDIAN NATIONAL CONGRESS,67085
KARNATAKA,B.T.M.LAYOUT,LALLESH REDDY,BHARATIYA JANATA PARTY,46607
KARNATAKA,B.T.M.LAYOUT,K DEVADAS,JANATA DAL (SECULAR),17307
KARNATAKA,B.T.M.LAYOUT,DR. SYED ASAD ABBAS (M C ABBAS),AAM AADMI PARTY,701
KARNATAKA,B.T.M.LAYOUT,N KRISHNOJI RAO,BHAARATEEYA JANASHAKTHI CONGRESS,497
KARNATAKA,B.T.M.LAYOUT,SATISH BABU S N,INDEPENDENT,333
KARNATAKA,B.T.M.LAYOUT,KUMARI. JAYALAKSHMI B V,ALL INDIA MAHILA EMPOWERMENT PARTY,262
KARNATAKA,B.T.M.LAYOUT,SEEMA KOWSER,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,194
KARNATAKA,B.T.M.LAYOUT,SHABRIN,INDEPENDENT,181
KARNATAKA,B.T.M.LAYOUT,PRADEEP MENDONCA,INDEPENDENT,107
KARNATAKA,B.T.M.LAYOUT,YASHWANT NAIK,INDEPENDENT,103
KARNATAKA,B.T.M.LAYOUT,BRAHMANANDA N,INDEPENDENT,102
KARNATAKA,B.T.M.LAYOUT,M MUNESHWARA,REPUBLICAN SENA,88
KARNATAKA,B.T.M.LAYOUT,NONE OF THE ABOVE,NONE OF THE ABOVE,2365
KARNATAKA,PADMANABA NAGAR,R ASHOKA,BHARATIYA JANATA PARTY,77868
KARNATAKA,PADMANABA NAGAR,V K GOPAL,JANATA DAL (SECULAR),45702
KARNATAKA,PADMANABA NAGAR,M SRINIVAS,INDIAN NATIONAL CONGRESS,33400
KARNATAKA,PADMANABA NAGAR,RAVIGOWDA,INDEPENDENT,371
KARNATAKA,PADMANABA NAGAR,AKMAL SHAREFF,ALL INDIA MAHILA EMPOWERMENT PARTY,366
KARNATAKA,PADMANABA NAGAR,MEERA RAGHAVENDRA,INDEPENDENT,362
KARNATAKA,PADMANABA NAGAR,G T GOPAL,INDEPENDENT,256
KARNATAKA,PADMANABA NAGAR,YOGESH,INDEPENDENT,233
KARNATAKA,PADMANABA NAGAR,SUMA MAHINDHAR,KANNADA PAKSHA,150
KARNATAKA,PADMANABA NAGAR,KUMAR H,RASHTRIYA MANAV VIKAS PARTY,129
KARNATAKA,PADMANABA NAGAR,S MANIVANNAN,INDEPENDENT,120
KARNATAKA,PADMANABA NAGAR,GUNASHEKHAR M,INDEPENDENT,97
KARNATAKA,PADMANABA NAGAR,PRABHAKAR,INDEPENDENT,82
KARNATAKA,PADMANABA NAGAR,K FIROZ,INDEPENDENT,68
KARNATAKA,PADMANABA NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2404
KARNATAKA,BASAVANAGUDI,RAVISUBRAMANYA.L.A,BHARATIYA JANATA PARTY,76018
KARNATAKA,BASAVANAGUDI,K.BAGEGOWDA,JANATA DAL (SECULAR),38009
KARNATAKA,BASAVANAGUDI,M.BOREGOWDA,INDIAN NATIONAL CONGRESS,11767
KARNATAKA,BASAVANAGUDI,SAKLESHPUR GUNDAPPA SITARAM,AAM AADMI PARTY,453
KARNATAKA,BASAVANAGUDI,KENCHAIAH.S.,REPUBLICAN PARTY OF INDIA (A),328
KARNATAKA,BASAVANAGUDI,SHARANU.M.,INDEPENDENT,256
KARNATAKA,BASAVANAGUDI,DR.BANU PRAKASH.A.S.,PYRAMID PARTY OF INDIA,233
KARNATAKA,BASAVANAGUDI,VISHALA ESHWAR,INDEPENDENT,203
KARNATAKA,BASAVANAGUDI,J.VENKATESH,ALL INDIA MAHILA EMPOWERMENT PARTY,187
KARNATAKA,BASAVANAGUDI,T.S.MADHURANATH,INDEPENDENT,149
KARNATAKA,BASAVANAGUDI,VEDI.B,INDEPENDENT,121
KARNATAKA,BASAVANAGUDI,B K PRAKASH,KANNADA PAKSHA,120
KARNATAKA,BASAVANAGUDI,D.M.BHATTAD,JANATA DAL (UNITED),119
KARNATAKA,BASAVANAGUDI,H.M.RAMA,BHARATIYA PRAJAGALA KALYANA PAKSHA,116
KARNATAKA,BASAVANAGUDI,PADMANABHAN.M.N,INDEPENDENT,108
KARNATAKA,BASAVANAGUDI,NONE OF THE ABOVE,NONE OF THE ABOVE,1856
KARNATAKA,CHICKPET,UDAY B.GARUDACHAR,BHARATIYA JANATA PARTY,57312
KARNATAKA,CHICKPET,R.V.DEVRAJ,INDIAN NATIONAL CONGRESS,49378
KARNATAKA,CHICKPET,MUJAHID PASHA.A,SOCIAL DEMOCRATIC PARTY OF INDIA,11700
KARNATAKA,CHICKPET,DR D.HEMACHANDRA SAGAR,JANATA DAL (SECULAR),6286
KARNATAKA,CHICKPET,BHARAT SANGHVI,INDEPENDENT,487
KARNATAKA,CHICKPET,RAKESH KUMAR SHUKLA,INDEPENDENT,442
KARNATAKA,CHICKPET,BASAVARAJ VAIJANATH JEMSHETTY,INDEPENDENT,261
KARNATAKA,CHICKPET,R.SHEKAR,INDEPENDENT,213
KARNATAKA,CHICKPET,AFSAR KHAN. R.K,ALL INDIA MAHILA EMPOWERMENT PARTY,171
KARNATAKA,CHICKPET,PRAVEEN.V.K,INDEPENDENT,140
KARNATAKA,CHICKPET,RAJENDRA KUMAR M. SOLANKI,INDEPENDENT,136
KARNATAKA,CHICKPET,THYAGARAJ,REPUBLICAN SENA,115
KARNATAKA,CHICKPET,M.SRINIVASA MURTHY,INDEPENDENT,94
KARNATAKA,CHICKPET,SYED SHAZAD AHMED,INDEPENDENT,88
KARNATAKA,CHICKPET,PURANDARA UPADHYAYA G,INDEPENDENT,87
KARNATAKA,CHICKPET,SYED IQBAL,INDEPENDENT,81
KARNATAKA,CHICKPET,N. KISHORE KUMAR,AKHIL BHARAT HINDU MAHASABHA,78
KARNATAKA,CHICKPET,ARUN PRASAD. A,INDEPENDENT,66
KARNATAKA,CHICKPET,SADAT ALI,INDEPENDENT,65
KARNATAKA,CHICKPET,SYED RIYAZ,INDEPENDENT,64
KARNATAKA,CHICKPET,N.MUNIYPPA,REPUBLICAN PARTY OF INDIA,56
KARNATAKA,CHICKPET,ASGAR A MOHIN S M,INDEPENDENT,53
KARNATAKA,CHICKPET,SHIVAKUMAR.K.S,INDEPENDENT,51
KARNATAKA,CHICKPET,SHAFIULLA SHARIFF,INDEPENDENT,46
KARNATAKA,CHICKPET,B. CHIKKANAGESHA,INDEPENDENT,43
KARNATAKA,CHICKPET,C.NANJUNDAPPA,INDEPENDENT,36
KARNATAKA,CHICKPET,P. AMARNATH,INDEPENDENT,31
KARNATAKA,CHICKPET,NONE OF THE ABOVE,NONE OF THE ABOVE,1340
KARNATAKA,CHAMRAJPET,B.Z. ZAMEER AHMED KHAN,INDIAN NATIONAL CONGRESS,65339
KARNATAKA,CHAMRAJPET,M LAKSHMINARAYANA,BHARATIYA JANATA PARTY,32202
KARNATAKA,CHAMRAJPET,B K ALTAF KHAN,JANATA DAL (SECULAR),19393
KARNATAKA,CHAMRAJPET,SRINIVAS B V,INDEPENDENT,418
KARNATAKA,CHAMRAJPET,TABARAK SHARIFF,INDEPENDENT,304
KARNATAKA,CHAMRAJPET,K. MANI,INDEPENDENT,276
KARNATAKA,CHAMRAJPET,NARASIMHAIAH P S,AMBEDKAR SAMAJ PARTY,213
KARNATAKA,CHAMRAJPET,SUBBARAYUDU,INDEPENDENT,193
KARNATAKA,CHAMRAJPET,IRFAN AHMED,INDEPENDENT,179
KARNATAKA,CHAMRAJPET,S. RUKMANGAD,SHIVSENA,153
KARNATAKA,CHAMRAJPET,S.N. HARISH NARAYAN GANDHI,BHAARATEEYA JANASHAKTHI CONGRESS,122
KARNATAKA,CHAMRAJPET,ASGAR A MOHIN S M,INDEPENDENT,108
KARNATAKA,CHAMRAJPET,PRAMILA,NAMMA CONGRESS,90
KARNATAKA,CHAMRAJPET,N PADMANABHA,SAMANYA JANATHA PARTY (LOKTANTRIK),77
KARNATAKA,CHAMRAJPET,YOGESH.J.PATEL,KANNADA PAKSHA,75
KARNATAKA,CHAMRAJPET,SYED ASLAM,ALL INDIA MAHILA EMPOWERMENT PARTY,74
KARNATAKA,CHAMRAJPET,AMEER AHMED KHAN,INDEPENDENT,60
KARNATAKA,CHAMRAJPET,ABDULLA,INDEPENDENT,56
KARNATAKA,CHAMRAJPET,SYED KHADEER,INDEPENDENT,56
KARNATAKA,CHAMRAJPET,AMJAD KHAN,INDEPENDENT,53
KARNATAKA,CHAMRAJPET,SAMPANGI RAAJ,INDEPENDENT,42
KARNATAKA,CHAMRAJPET,NONE OF THE ABOVE,NONE OF THE ABOVE,726
KARNATAKA,VIJAY NAGAR,M. KRISHNAPPA,INDIAN NATIONAL CONGRESS,73353
KARNATAKA,VIJAY NAGAR,H. RAVINDRA,BHARATIYA JANATA PARTY,70578
KARNATAKA,VIJAY NAGAR,PARAMASHIVA N.E,JANATA DAL (SECULAR),8174
KARNATAKA,VIJAY NAGAR,AMJAD KHAN,SAMANYA JANATHA PARTY (LOKTANTRIK),364
KARNATAKA,VIJAY NAGAR,C.K RAVI,INDIAN NEW CONGRESS PARTY,353
KARNATAKA,VIJAY NAGAR,SYED MUJAHID,INDEPENDENT,351
KARNATAKA,VIJAY NAGAR,M.MALLIKARJUNA,INDEPENDENT,320
KARNATAKA,VIJAY NAGAR,VIJAY KUMAR. N,JANATA DAL (UNITED),181
KARNATAKA,VIJAY NAGAR,H.RAVI,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,150
KARNATAKA,VIJAY NAGAR,ARUNKUMAR. C,REPUBLICAN PARTY OF INDIA,127
KARNATAKA,VIJAY NAGAR,K.R PRAKASH,INDEPENDENT,109
KARNATAKA,VIJAY NAGAR,YODHA RAVI GOWDA,KANNADA PAKSHA,106
KARNATAKA,VIJAY NAGAR,WAHEEDA BANU,JAI BHARATH JENA SENA PARTY,97
KARNATAKA,VIJAY NAGAR,NARASIMHA L,INDEPENDENT,91
KARNATAKA,VIJAY NAGAR,BUDAYYA B PUJERI,KARUNAADU PARTY,83
KARNATAKA,VIJAY NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1967
KARNATAKA,GOVINDRAJ NAGAR,V SOMANNA,BHARATIYA JANATA PARTY,79135
KARNATAKA,GOVINDRAJ NAGAR,PRIYAKRISHNA,INDIAN NATIONAL CONGRESS,67760
KARNATAKA,GOVINDRAJ NAGAR,A NAGENDRA PRASAD,JANATA DAL (SECULAR),7090
KARNATAKA,GOVINDRAJ NAGAR,DR K S GANGADHARA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),329
KARNATAKA,GOVINDRAJ NAGAR,S SURESH,INDEPENDENT,298
KARNATAKA,GOVINDRAJ NAGAR,N HANUMEGOWDA,INDEPENDENT,230
KARNATAKA,GOVINDRAJ NAGAR,PARVEEZ KHAN P,SAMANYA JANATHA PARTY (LOKTANTRIK),211
KARNATAKA,GOVINDRAJ NAGAR,SHIVARAJU G,INDEPENDENT,122
KARNATAKA,GOVINDRAJ NAGAR,PRABHU,SARVA JANATA PARTY,94
KARNATAKA,GOVINDRAJ NAGAR,GOVINDAIAH B R,INDEPENDENT,75
KARNATAKA,GOVINDRAJ NAGAR,M UMASHANKAR,INDEPENDENT,69
KARNATAKA,GOVINDRAJ NAGAR,RAGHUNATH A P,INDEPENDENT,66
KARNATAKA,GOVINDRAJ NAGAR,JAYACHANDRA H,INDEPENDENT,58
KARNATAKA,GOVINDRAJ NAGAR,SREEDHAR V S,RANI CHENNAMMA PARTY,54
KARNATAKA,GOVINDRAJ NAGAR,YATHIS M,INDEPENDENT,51
KARNATAKA,GOVINDRAJ NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1589
KARNATAKA,RAJAJI NAGAR,S SURESH KUMAR,BHARATIYA JANATA PARTY,56271
KARNATAKA,RAJAJI NAGAR,G PADMAVATHI,INDIAN NATIONAL CONGRESS,46818
KARNATAKA,RAJAJI NAGAR,H.M. KRISHNAMURTHY,JANATA DAL (SECULAR),13637
KARNATAKA,RAJAJI NAGAR,CHANDRE GOWDA,SAMAJWADI PARTY,233
KARNATAKA,RAJAJI NAGAR,B.T. NAGANNA,INDEPENDENT,231
KARNATAKA,RAJAJI NAGAR,RAJU A.,INDEPENDENT,227
KARNATAKA,RAJAJI NAGAR,NAGARAJ H.N.,INDEPENDENT,184
KARNATAKA,RAJAJI NAGAR,PUSHPALATHA,INDEPENDENT,163
KARNATAKA,RAJAJI NAGAR,SHALINI V N,INDEPENDENT,161
KARNATAKA,RAJAJI NAGAR,M. LAKSHMI,JAI VIJAYA BHARATHI PARTY,96
KARNATAKA,RAJAJI NAGAR,PRASAD S,JANA SAMANYARA PARTY (KARNATAKA),74
KARNATAKA,RAJAJI NAGAR,VINAY GOWDA N.,RANI CHENNAMMA PARTY,66
KARNATAKA,RAJAJI NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1931
KARNATAKA,GANDHI NAGAR,DINESH GUNDU RAO,INDIAN NATIONAL CONGRESS,47354
KARNATAKA,GANDHI NAGAR,A.R. SAPTHAGIRI GOWDA,BHARATIYA JANATA PARTY,37284
KARNATAKA,GANDHI NAGAR,V. NARAYANASWAMY,JANATA DAL (SECULAR),36635
KARNATAKA,GANDHI NAGAR,V. NAGARAJ,INDEPENDENT,1476
KARNATAKA,GANDHI NAGAR,M.P. YUVARAJ,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHGAM (AMMA),545
KARNATAKA,GANDHI NAGAR,A. ELANKOVAN,AAM AADMI PARTY,515
KARNATAKA,GANDHI NAGAR,S. MOHAN KUMAR,INDEPENDENT,286
KARNATAKA,GANDHI NAGAR,R. MURTHY,INDEPENDENT,171
KARNATAKA,GANDHI NAGAR,G. KRISHNA,ALL INDIA MAHILA EMPOWERMENT PARTY,163
KARNATAKA,GANDHI NAGAR,MOHAMED MUJAHID,JANA SAMANYARA PARTY (KARNATAKA),123
KARNATAKA,GANDHI NAGAR,DR DINESH KUMAR A,INDEPENDENT,108
KARNATAKA,GANDHI NAGAR,SYED KAREEM,SAMAJWADI PARTY,91
KARNATAKA,GANDHI NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2074
KARNATAKA,SHANTI NAGAR,N A HARIS,INDIAN NATIONAL CONGRESS,60009
KARNATAKA,SHANTI NAGAR,K VASUDEVAMURTHY,BHARATIYA JANATA PARTY,41804
KARNATAKA,SHANTI NAGAR,N R SRIDHAR REDDY,JANATA DAL (SECULAR),13569
KARNATAKA,SHANTI NAGAR,RENUKA VISHWANATHAN,AAM AADMI PARTY,2658
KARNATAKA,SHANTI NAGAR,JOHN PAUL,RASHTRIYA MANAV VIKAS PARTY,340
KARNATAKA,SHANTI NAGAR,PETER SAMSON BABU,INDEPENDENT,327
KARNATAKA,SHANTI NAGAR,PRABHU BOSCO,INDEPENDENT,298
KARNATAKA,SHANTI NAGAR,T DAYAL KUMAR,INDEPENDENT,183
KARNATAKA,SHANTI NAGAR,SYED ASIF BUKHARI,INDEPENDENT,141
KARNATAKA,SHANTI NAGAR,A A SANTOSH,INDEPENDENT,114
KARNATAKA,SHANTI NAGAR,SEVEN RAJ,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,112
KARNATAKA,SHANTI NAGAR,NAGARAJ D S,INDEPENDENT,111
KARNATAKA,SHANTI NAGAR,NARASIMHA PRASAD M,ALL INDIA MAHILA EMPOWERMENT PARTY,105
KARNATAKA,SHANTI NAGAR,JOSHUA M E RAJAN,REPUBLICAN PARTY OF INDIA (A),69
KARNATAKA,SHANTI NAGAR,ANTHONY RAJ S,INDEPENDENT,58
KARNATAKA,SHANTI NAGAR,CHANDRASHEKAR S B,INDEPENDENT,54
KARNATAKA,SHANTI NAGAR,AVINASH DASAN,INDEPENDENT,46
KARNATAKA,SHANTI NAGAR,ABRAHAM YATES,INDEPENDENT,36
KARNATAKA,SHANTI NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1386
KARNATAKA,SHIVAJINAGAR,R ROSHAN BAIG,INDIAN NATIONAL CONGRESS,59742
KARNATAKA,SHIVAJINAGAR,KATTA SUBRAMANYA NAIDU,BHARATIYA JANATA PARTY,44702
KARNATAKA,SHIVAJINAGAR,SHAIK MASTHAN ALI,JANATA DAL (SECULAR),1313
KARNATAKA,SHIVAJINAGAR,AYUB KHAN,AAM AADMI PARTY,300
KARNATAKA,SHIVAJINAGAR,ROBERT CLIVE,INDEPENDENT,198
KARNATAKA,SHIVAJINAGAR,SYED JAFFAR,ALL INDIA MAHILA EMPOWERMENT PARTY,104
KARNATAKA,SHIVAJINAGAR,K NARASIMHA,INDEPENDENT,99
KARNATAKA,SHIVAJINAGAR,AMJAD KHAN,AMBEDKAR SAMAJ PARTY,96
KARNATAKA,SHIVAJINAGAR,DR PHILIP MARIAN,REPUBLICAN PARTY OF INDIA (A),77
KARNATAKA,SHIVAJINAGAR,ANIL PRAKASH,INDEPENDENT,70
KARNATAKA,SHIVAJINAGAR,AMBROSE D' MELLO,INDEPENDENT,57
KARNATAKA,SHIVAJINAGAR,JEEVAN STEPHEN,BHARTIYA REPUBLICAN PARTY (INSAN),46
KARNATAKA,SHIVAJINAGAR,DR MEER LAYAQ HUSSAIN,INDEPENDENT,42
KARNATAKA,SHIVAJINAGAR,SHANAWAZ AHMED,DR. AMBEDKAR PEOPLE'S PARTY,34
KARNATAKA,SHIVAJINAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1654
KARNATAKA,C.V. RAMAN NAGAR,S. RAGHU,BHARATIYA JANATA PARTY,58887
KARNATAKA,C.V. RAMAN NAGAR,R. SAMPATH RAJ,INDIAN NATIONAL CONGRESS,46660
KARNATAKA,C.V. RAMAN NAGAR,P. RAMESH,JANATA DAL (SECULAR),20478
KARNATAKA,C.V. RAMAN NAGAR,MOHANA DASARI,AAM AADMI PARTY,1926
KARNATAKA,C.V. RAMAN NAGAR,S.R. JAYARAM,ALL INDIA MAHILA EMPOWERMENT PARTY,384
KARNATAKA,C.V. RAMAN NAGAR,I. VENKATESH,INDEPENDENT,310
KARNATAKA,C.V. RAMAN NAGAR,S. RAGHU,INDEPENDENT,240
KARNATAKA,C.V. RAMAN NAGAR,MUNIMARAPPA M.,AMBEDKARITE PARTY OF INDIA,228
KARNATAKA,C.V. RAMAN NAGAR,VENKATESH .N.,INDEPENDENT,211
KARNATAKA,C.V. RAMAN NAGAR,P. SHANMUGA PRABHU,REPUBLICAN SENA,124
KARNATAKA,C.V. RAMAN NAGAR,R MOHAN RAJU,BHARATIYA REPUBLICAN PAKSHA,117
KARNATAKA,C.V. RAMAN NAGAR,NANDA KUMAR,BHARATIYA PRAJAGALA KALYANA PAKSHA,114
KARNATAKA,C.V. RAMAN NAGAR,SRINIVASA M.,REPUBLICAN PARTY OF INDIA (A),71
KARNATAKA,C.V. RAMAN NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2259
KARNATAKA,SARVAGNANAGAR,K.J GEORGE,INDIAN NATIONAL CONGRESS,109955
KARNATAKA,SARVAGNANAGAR,M.N.REDDY,BHARATIYA JANATA PARTY,56651
KARNATAKA,SARVAGNANAGAR,ANWAR SHARIEFF,JANATA DAL (SECULAR),4926
KARNATAKA,SARVAGNANAGAR,PRITHVI REDDY,AAM AADMI PARTY,1861
KARNATAKA,SARVAGNANAGAR,N.D.SOLOMON RAJU,INDEPENDENT,578
KARNATAKA,SARVAGNANAGAR,IRSHAD AHMED KHAN,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,323
KARNATAKA,SARVAGNANAGAR,RADHA KRISHNA.T,INDEPENDENT,279
KARNATAKA,SARVAGNANAGAR,DAWN BEENA.S,SAMANYA JANATHA PARTY (LOKTANTRIK),214
KARNATAKA,SARVAGNANAGAR,KEMPURAJAN,REPUBLICAN SENA,196
KARNATAKA,SARVAGNANAGAR,MOHAN.H,INDEPENDENT,179
KARNATAKA,SARVAGNANAGAR,S.SYED HIDAYATHULLA,ALL INDIA MAHILA EMPOWERMENT PARTY,171
KARNATAKA,SARVAGNANAGAR,MODI SAIFULLA,INDEPENDENT,148
KARNATAKA,SARVAGNANAGAR,SHABBIR SHARIFF,DR. AMBEDKAR PEOPLE'S PARTY,106
KARNATAKA,SARVAGNANAGAR,DR.MEER LAYAQ HUSSAIN,INDEPENDENT,99
KARNATAKA,SARVAGNANAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2405
KARNATAKA,PULAKESHINAGAR,R. AKHANDA SRINIVASAMURTHY,INDIAN NATIONAL CONGRESS,97574
KARNATAKA,PULAKESHINAGAR,B. PRASANNAKUMAR,JANATA DAL (SECULAR),15948
KARNATAKA,PULAKESHINAGAR,SUSHEELA DEVARAJ,BHARATIYA JANATA PARTY,9479
KARNATAKA,PULAKESHINAGAR,D.ANBARASAN,INDEPENDENT,636
KARNATAKA,PULAKESHINAGAR,PRIYA,INDEPENDENT,324
KARNATAKA,PULAKESHINAGAR,SIDDAGANGAIAH.R (SIDDU),AAM AADMI PARTY,301
KARNATAKA,PULAKESHINAGAR,RAGHURAMAN.G,REPUBLICAN PARTY OF INDIA (A),160
KARNATAKA,PULAKESHINAGAR,AYYAPPA .K,INDEPENDENT,134
KARNATAKA,PULAKESHINAGAR,SRIKANTH SEETHARAM,ALL INDIA MAHILA EMPOWERMENT PARTY,108
KARNATAKA,PULAKESHINAGAR,SHIVAKUMAR,FEDERAL CONGRESS OF INDIA,103
KARNATAKA,PULAKESHINAGAR,SUNSTAR D. JAYARAM,GAREEB AADMI PARTY,102
KARNATAKA,PULAKESHINAGAR,GUNALAN. M,INDEPENDENT,92
KARNATAKA,PULAKESHINAGAR,M. LOKESH,RASHTRIYA MANAV VIKAS PARTY,69
KARNATAKA,PULAKESHINAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1402
KARNATAKA,HEBBAL,SURESH B S,INDIAN NATIONAL CONGRESS,74453
KARNATAKA,HEBBAL,Y A NARAYANASWAMY,BHARATIYA JANATA PARTY,53313
KARNATAKA,HEBBAL,HANUMANTHE GOWDA,JANATA DAL (SECULAR),14092
KARNATAKA,HEBBAL,ANJAN KUMAR GOWDA,INDIAN NEW CONGRESS PARTY,702
KARNATAKA,HEBBAL,NAGARAJU,INDEPENDENT,356
KARNATAKA,HEBBAL,RAGHAVENDRA K THANE,AAM AADMI PARTY,328
KARNATAKA,HEBBAL,JAMEEL AHMED,INDEPENDENT,294
KARNATAKA,HEBBAL,UMADEVI,INDEPENDENT,281
KARNATAKA,HEBBAL,D NARAYANA SWAMY,INDEPENDENT,178
KARNATAKA,HEBBAL,MANJUNATH M,REPUBLICAN PARTY OF INDIA,135
KARNATAKA,HEBBAL,SYED KAWJA WALI HYDRI,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,129
KARNATAKA,HEBBAL,KUMARESH,REPUBLICAN SENA,80
KARNATAKA,HEBBAL,SALEEM KHAN,FEDERAL CONGRESS OF INDIA,77
KARNATAKA,HEBBAL,NARAYANASWAMY M,INDEPENDENT,76
KARNATAKA,HEBBAL,B S SURESH,INDEPENDENT,74
KARNATAKA,HEBBAL,MOHAMMED AYUB,INDEPENDENT,72
KARNATAKA,HEBBAL,B M SURESHA,INDEPENDENT,67
KARNATAKA,HEBBAL,SYED ASIF BUKMARI,INDEPENDENT,65
KARNATAKA,HEBBAL,DR P K VELLADURAI,INDEPENDENT,63
KARNATAKA,HEBBAL,RAVI KUMAR A R,JANA SAMANYARA PARTY (KARNATAKA),61
KARNATAKA,HEBBAL,ATIYA ASGAR,JANATA DAL (UNITED),56
KARNATAKA,HEBBAL,T JAIKUMAR,SHIVSENA,52
KARNATAKA,HEBBAL,ISARATH JAHAN,KARNATAKA JANTHA PAKSHA,48
KARNATAKA,HEBBAL,JAFFER SHARIEF,DR. AMBEDKAR PEOPLE'S PARTY,44
KARNATAKA,HEBBAL,DR MANJUNATH NAYAK,AMBEDKAR NATIONAL CONGRESS,39
KARNATAKA,HEBBAL,N RAJANNA,INDEPENDENT,39
KARNATAKA,HEBBAL,VINAY KUMAR V NAYAK,INDEPENDENT,37
KARNATAKA,HEBBAL,S RAGHAVAN,INDEPENDENT,29
KARNATAKA,HEBBAL,NONE OF THE ABOVE,NONE OF THE ABOVE,1450
KARNATAKA,MALLESHWARAM,DR. ASHWATH NARAYAN.C.N.,BHARATIYA JANATA PARTY,83130
KARNATAKA,MALLESHWARAM,KENGAL SHREEPADHARENU,INDIAN NATIONAL CONGRESS,29130
KARNATAKA,MALLESHWARAM,MADHUSUDHAN N,JANATA DAL (SECULAR),7884
KARNATAKA,MALLESHWARAM,SUBRAMANYA SHARMA GOURAVARAM,ALL INDIA MAHILA EMPOWERMENT PARTY,273
KARNATAKA,MALLESHWARAM,N RAJANNA,INDEPENDENT,185
KARNATAKA,MALLESHWARAM,ADITYA .R .A,INDEPENDENT,158
KARNATAKA,MALLESHWARAM,R VENKATESH,JAI BHARATH JENA SENA PARTY,157
KARNATAKA,MALLESHWARAM,ANAND M.B.,KANNADA PAKSHA,126
KARNATAKA,MALLESHWARAM,KRISHNAIAH,RASHTRIYA MANAV VIKAS PARTY,106
KARNATAKA,MALLESHWARAM,MANDAGERE RAMAKUMAR,KARUNAADU PARTY,95
KARNATAKA,MALLESHWARAM,MALLIKARJUN L S,JANA SAMANYARA PARTY (KARNATAKA),91
KARNATAKA,MALLESHWARAM,PRAKASH K R,INDEPENDENT,88
KARNATAKA,MALLESHWARAM,P R PRADEEP,INDEPENDENT,85
KARNATAKA,MALLESHWARAM,NONE OF THE ABOVE,NONE OF THE ABOVE,2157
KARNATAKA,MAHALAKSHMI LAYOUT,K. GOPALAIAH,JANATA DAL (SECULAR),88218
KARNATAKA,MAHALAKSHMI LAYOUT,N.L. NARENDRA BABU,BHARATIYA JANATA PARTY,47118
KARNATAKA,MAHALAKSHMI LAYOUT,MANJUNATHA H.S,INDIAN NATIONAL CONGRESS,20496
KARNATAKA,MAHALAKSHMI LAYOUT,RAJA. A,INDEPENDENT,497
KARNATAKA,MAHALAKSHMI LAYOUT,N. GIRISH GOWDA,NATIONALIST CONGRESS PARTY,482
KARNATAKA,MAHALAKSHMI LAYOUT,PADMA. H,JANATA DAL (UNITED),260
KARNATAKA,MAHALAKSHMI LAYOUT,ASWATHA,RASHTRIYA MANAV VIKAS PARTY,219
KARNATAKA,MAHALAKSHMI LAYOUT,GOVINDARAJU T,ALL INDIA MAHILA EMPOWERMENT PARTY,217
KARNATAKA,MAHALAKSHMI LAYOUT,M. SHAKUNTHALA,ALL INDIA JANARAKSHA PARTY,207
KARNATAKA,MAHALAKSHMI LAYOUT,MANOHAR H. AYYANNAVAR,INDEPENDENT,171
KARNATAKA,MAHALAKSHMI LAYOUT,V. PASANNA KUMAR,INDEPENDENT,133
KARNATAKA,MAHALAKSHMI LAYOUT,SUNIL KUMAR. V,KANNADA PAKSHA,123
KARNATAKA,MAHALAKSHMI LAYOUT,NONE OF THE ABOVE,NONE OF THE ABOVE,1739
KARNATAKA,DASARAHALLI,R.MANJUNATHA,JANATA DAL (SECULAR),94044
KARNATAKA,DASARAHALLI,S MUNIRAJU,BHARATIYA JANATA PARTY,83369
KARNATAKA,DASARAHALLI,P.N.KRISHNAMURTHY,INDIAN NATIONAL CONGRESS,31711
