STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,CHAMARAJA,MALAVIKA GUBBI VANI,AAM AADMI PARTY,483
KARNATAKA,CHAMARAJA,M.K. PRASHANTHA,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,424
KARNATAKA,CHAMARAJA,M. SOMASHEKAR,BHAARATEEYA JANASHAKTHI CONGRESS,241
KARNATAKA,CHAMARAJA,MALINI .R,INDEPENDENT,202
KARNATAKA,CHAMARAJA,M. PANCHALINGU,INDEPENDENT,140
KARNATAKA,CHAMARAJA,P. PURUSHOTHAM,INDEPENDENT,119
KARNATAKA,CHAMARAJA,MAJEED AHMED,INDEPENDENT,108
KARNATAKA,CHAMARAJA,SHANTHI D AWARADI,ALL INDIA MAHILA EMPOWERMENT PARTY,104
KARNATAKA,CHAMARAJA,M. MANOJ KUMAR,INDEPENDENT,93
KARNATAKA,CHAMARAJA,KAVERIYAMMA N.K,INDEPENDENT,83
KARNATAKA,CHAMARAJA,NONE OF THE ABOVE,NONE OF THE ABOVE,1561
KARNATAKA,KRISHNARAJA,S A RAMADAS,BHARATIYA JANATA PARTY,78573
KARNATAKA,KRISHNARAJA,M K SOMASHEKAR,INDIAN NATIONAL CONGRESS,52226
KARNATAKA,KRISHNARAJA,MALLESH K V,JANATA DAL (SECULAR),11607
KARNATAKA,KRISHNARAJA,B SOMASHEKAR,INDEPENDENT,413
KARNATAKA,KRISHNARAJA,M D PARTHASARATHY,INDEPENDENT,399
KARNATAKA,KRISHNARAJA,B K ARAVIND,KANNADA PAKSHA,370
KARNATAKA,KRISHNARAJA,RACHAPPA G,INDEPENDENT,301
KARNATAKA,KRISHNARAJA,SUCHITHRA,INDEPENDENT,289
KARNATAKA,KRISHNARAJA,JANAKI M C,BHAARATEEYA JANASHAKTHI CONGRESS,178
KARNATAKA,KRISHNARAJA,SREENIVAS S,INDEPENDENT,153
KARNATAKA,KRISHNARAJA,P KUMARASWAMY,INDEPENDENT,149
KARNATAKA,KRISHNARAJA,K M JAYANTH,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,145
KARNATAKA,KRISHNARAJA,RAVI N,INDEPENDENT,131
KARNATAKA,KRISHNARAJA,VIJAYAKUMAR D,REPUBLICAN SENA,114
KARNATAKA,KRISHNARAJA,D N KRISHNAMURTHY,INDEPENDENT,101
KARNATAKA,KRISHNARAJA,BHANUMOHAN,SWARAJ INDIA,99
KARNATAKA,KRISHNARAJA,M NANJAPPA,INDEPENDENT,81
KARNATAKA,KRISHNARAJA,S JAGADEESH,INDEPENDENT,72
KARNATAKA,KRISHNARAJA,B H SHIVAKUMAR,KARNATAKA JANTHA PAKSHA,66
KARNATAKA,KRISHNARAJA,NONE OF THE ABOVE,NONE OF THE ABOVE,1441
KARNATAKA,CHAMUNDESHWARI,G.T.DEVEGOWDA,JANATA DAL (SECULAR),121325
KARNATAKA,CHAMUNDESHWARI,SIDDARAMAIAH,INDIAN NATIONAL CONGRESS,85283
KARNATAKA,CHAMUNDESHWARI,S.R.GOPALRAO,BHARATIYA JANATA PARTY,12064
KARNATAKA,CHAMUNDESHWARI,P.KARIGOWDA,INDEPENDENT,1665
KARNATAKA,CHAMUNDESHWARI,SHANTHARAJU,INDEPENDENT,826
KARNATAKA,CHAMUNDESHWARI,P.SURESHNAYAKA,INDEPENDENT,779
KARNATAKA,CHAMUNDESHWARI,M.S.PRAVEEN,BHAARATEEYA JANASHAKTHI CONGRESS,686
KARNATAKA,CHAMUNDESHWARI,GURUMALLESH,ALL INDIA MAHILA EMPOWERMENT PARTY,662
KARNATAKA,CHAMUNDESHWARI,M.MANJU,INDEPENDENT,278
KARNATAKA,CHAMUNDESHWARI,RECHANNA M S,INDEPENDENT,257
KARNATAKA,CHAMUNDESHWARI,NANDEESHA.K.C,INDEPENDENT,212
KARNATAKA,CHAMUNDESHWARI,M. MADESHA,SAMANYA JANATHA PARTY (LOKTANTRIK),200
KARNATAKA,CHAMUNDESHWARI,R.B. BASAVEGOWDA,INDEPENDENT,181
KARNATAKA,CHAMUNDESHWARI,P.PURUSHOTHAM,INDEPENDENT,170
KARNATAKA,CHAMUNDESHWARI,M.M.MAHESHAGOWDA,INDEPENDENT,126
KARNATAKA,CHAMUNDESHWARI,NONE OF THE ABOVE,NONE OF THE ABOVE,1549
KARNATAKA,NANJANGUD,B. HARSHAVARDHAN,BHARATIYA JANATA PARTY,78030
